,w_tqqq,w_spy,w_cash,score,deviation,bands,gate_open
2022-02-04,0.8,0.0,0.19999999999999996,0.6161877961671991,-0.11399475031438489,-2.0,1
2022-02-07,0.7,0.0,0.30000000000000004,0.6508614289406204,-0.07196239079395716,-1.0,1
2022-02-08,0.8,0.0,0.19999999999999996,0.6543498967182121,-0.0823517355047646,-2.0,1
2022-02-09,0.7,0.0,0.30000000000000004,0.6860167702918893,-0.04120772358033098,-1.0,1
2022-02-10,0.5,0.0,0.5,0.7332881978290331,0.028646962433911183,1.0,1
2022-02-11,0.7,0.0,0.30000000000000004,0.6239459228211229,-0.025667097376510406,-1.0,1
2022-02-14,0.8,0.0,0.19999999999999996,0.5238095087734,-0.10444003113789357,-2.0,1
2022-02-15,0.8,0.0,0.19999999999999996,0.5075906598498701,-0.08778145704836138,-2.0,1
2022-02-16,0.6,0.0,0.4,0.5849259564030458,-0.01380341244383132,-0.0,1
2022-02-17,0.6,0.0,0.4,0.6223321430310844,-0.007930924011219753,-0.0,1
2022-02-18,0.8,0.0,0.19999999999999996,0.5140541242453741,-0.088265821879009,-2.0,1
2022-02-22,0.8,0.0,0.19999999999999996,0.5257334862173734,-0.11435748894011377,-2.0,1
2022-02-23,0.0,0.0,1.0,0.49302442921871265,-0.1352116810790175,-3.0,0
2022-02-24,0.0,0.0,1.0,0.42967445648500496,-0.19560913103140365,-4.0,0
2022-02-25,0.0,0.0,1.0,0.485156106714104,-0.11401116567073977,-2.0,0
2022-02-28,0.7,0.0,0.30000000000000004,0.5526651228227705,-0.07229023042250882,-1.0,1
2022-03-01,0.0,0.0,1.0,0.4923877201804023,-0.05917381941759137,-1.0,0
2022-03-02,0.0,0.0,1.0,0.4372336769550342,-0.09298544659594088,-2.0,0
2022-03-03,0.7,0.0,0.30000000000000004,0.5075770400461831,-0.04046413331958887,-1.0,1
2022-03-04,0.7,0.0,0.30000000000000004,0.5103286552825033,-0.06838741633117174,-1.0,1
2022-03-07,0.0,0.0,1.0,0.47592809607085823,-0.10104590173567862,-2.0,0
2022-03-08,0.0,0.0,1.0,0.41579410629819896,-0.18932007779133764,-4.0,0
2022-03-09,0.0,0.0,1.0,0.39824950100518386,-0.18878575818759502,-4.0,0
2022-03-10,0.0,0.0,1.0,0.46757564962064246,-0.09084701359998049,-2.0,0
2022-03-11,0.0,0.0,1.0,0.4982149418194084,-0.1044982856878447,-2.0,0
2022-03-14,0.0,0.0,1.0,0.4791103574819715,-0.1460868800210755,-3.0,0
2022-03-15,0.0,0.0,1.0,0.4465090297066933,-0.185075390916829,-4.0,0
2022-03-16,0.0,0.0,1.0,0.4979685353067962,-0.10055033335316876,-2.0,0
2022-03-17,0.6,0.0,0.4,0.5939826866990628,0.009682114217199889,0.0,1
2022-03-18,0.5,0.0,0.5,0.6517073340148204,0.051371554522041674,1.0,1
2022-03-21,0.39999999999999997,0.0,0.6000000000000001,0.692197709144793,0.11556386991692325,2.0,1
2022-03-22,0.39999999999999997,0.0,0.6000000000000001,0.6793080654572942,0.10486708410434686,2.0,1
2022-03-23,0.29999999999999993,0.0,0.7000000000000001,0.6946310595976494,0.16162143880558277,3.0,1
2022-03-24,0.39999999999999997,0.0,0.6000000000000001,0.6774063583669888,0.1029525620952152,2.0,1
2022-03-25,0.29999999999999993,0.0,0.7000000000000001,0.7221121720500855,0.16546917254260474,3.0,1
2022-03-28,0.29999999999999993,0.0,0.7000000000000001,0.7252799319014399,0.1576901937274573,3.0,1
2022-03-29,0.19999999999999996,0.0,0.8,0.7454962312750398,0.2017324731030119,4.0,1
2022-03-30,0.09999999999999998,0.0,0.9,0.7589994933418586,0.24753275857452417,5.0,1
2022-03-31,0.19999999999999996,0.0,0.8,0.7456720523813333,0.20016598316962142,4.0,1
2022-04-01,0.29999999999999993,0.0,0.7000000000000001,0.7129140319571539,0.1415677830651898,3.0,1
2022-04-04,0.29999999999999993,0.0,0.7000000000000001,0.7156167885038421,0.12579426526000992,3.0,1
2022-04-05,0.29999999999999993,0.0,0.7000000000000001,0.7332388402812184,0.17465196756257995,3.0,1
2022-04-06,0.39999999999999997,0.0,0.6000000000000001,0.652458505909975,0.08114204113486911,2.0,1
2022-04-07,0.6,0.0,0.4,0.60365905452757,0.003381900169990626,0.0,1
