,vix,vix_ma,irx,irx_delta,curve_slope,spy_sma,spy_above_sma,qqq_mom,score_vix_level,score_vix_trend,score_rate_easing,score_trend,score_momentum,score_curve,composite
2024-08-02,23.389999389648438,15.575000047683716,5.03000020980835,-0.21299982070922852,-1.4150002002716064,486.7680503845215,1,0.20688796726561143,1,0,1,1,1,0,4.0
2024-08-05,38.56999969482422,16.885000038146973,5.059999942779541,-0.18499994277954102,-1.431999921798706,487.1884924316406,1,0.17278305960543627,0,0,1,1,1,0,3.0
2024-08-06,27.709999084472656,17.644999980926514,5.079999923706055,-0.15999984741210938,-1.3499999046325684,487.6604508972168,1,0.18955796782716483,1,0,1,1,1,0,4.0
2024-08-07,27.850000381469727,18.394999980926514,5.079999923706055,-0.16300010681152344,-1.2849998474121094,488.1336387634277,1,0.16679635958200545,1,0,1,1,1,0,4.0
2024-08-08,23.790000915527344,18.938500022888185,5.083000183105469,-0.1569995880126953,-1.250000238418579,488.69093582153323,1,0.21280151519876234,1,0,1,1,1,0,4.0
2024-08-09,20.3700008392334,19.334000062942504,5.074999809265137,-0.16000032424926758,-1.2789998054504395,489.26323013305665,1,0.232688052276685,1,0,1,1,1,0,4.0
2024-08-12,20.709999084472656,19.713500022888184,5.072999954223633,-0.16699981689453125,-1.3239998817443848,489.8215322875977,1,0.2330638220383967,1,0,1,1,1,0,4.0
2024-08-13,18.1200008392334,19.96000008583069,5.052999973297119,-0.19000005722045898,-1.371000051498413,490.4522467041016,1,0.2717680433111114,2,1,1,1,1,0,6.0
2024-08-14,16.190000534057617,20.045500135421754,5.063000202178955,-0.17699956893920898,-1.3970003128051758,491.11556777954104,1,0.2580622414047815,2,1,1,1,1,0,6.0
2024-08-15,15.229999542236328,20.01050009727478,5.079999923706055,-0.15999984741210938,-1.2809998989105225,491.8335913085937,1,0.30367880933500646,2,1,1,1,1,0,6.0
2024-08-16,14.800000190734863,19.92450008392334,5.074999809265137,-0.16499996185302734,-1.306999921798706,492.53389083862305,1,0.31932518607328775,2,1,1,1,1,0,6.0
2024-08-19,14.649999618530273,19.91150007247925,5.063000202178955,-0.18199968338012695,-1.3040001392364502,493.2474942016602,1,0.3514174426305967,2,1,1,1,1,0,6.0
2024-08-20,15.880000114440918,19.969500064849854,5.0329999923706055,-0.21199989318847656,-1.3329999446868896,493.9350268554688,1,0.3502759150422263,2,1,1,1,1,0,6.0
2024-08-21,16.270000457763672,19.88100004196167,5.005000114440918,-0.23999977111816406,-1.3660001754760742,494.59270568847654,1,0.33506390783906603,2,1,1,1,1,0,6.0
2024-08-22,17.549999237060547,19.835500049591065,5.025000095367432,-0.22300004959106445,-1.2980000972747803,495.209790802002,1,0.31577697139910677,2,1,1,1,1,0,6.0
2024-08-23,15.859999656677246,19.809000062942506,5.0,-0.25,-1.3499999046325684,495.8509710693359,1,0.3093997090541436,2,1,1,1,1,0,6.0
