,equity
2019-03-29,95371.4734316368
2019-04-01,97245.86812282079
2019-04-02,97787.12928155498
2019-04-03,98640.2640569655
2019-04-04,98571.62449870011
2019-04-05,99316.12589385186
2019-04-08,99710.0145710023
2019-04-09,99163.22833821012
2019-04-10,99867.23933251847
2019-04-11,99475.30974716104
2019-04-12,100089.11102005582
2019-04-15,100133.87616450324
2019-04-16,100627.26835503634
2019-04-17,101138.35956759144
2019-04-18,101300.7927623922
2019-04-22,101740.58616869253
2019-04-23,103675.7721009491
2019-04-24,103179.4618896614
2019-04-25,103759.39415411917
2019-04-26,103922.08727093211
2019-04-29,104208.50803536661
2019-04-30,103018.1445006333
2019-05-01,102484.76461789384
2019-05-02,101965.17135550466
2019-05-03,103971.29141131998
2019-05-06,103586.46359173246
2019-05-07,100707.39975803015
2019-05-08,100349.95915720344
2019-05-09,99700.39568650798
2019-05-10,99865.75611024424
2019-05-13,95414.53084498826
2019-05-14,96517.70545730912
2019-05-15,98388.33066715853
2019-05-16,99714.3466306187
2019-05-17,98392.74268999344
2019-05-20,96351.47009733332
2019-05-21,97593.67341799637
2019-05-22,97091.30386556924
2019-05-23,94791.28482607889
2019-05-24,94867.82395063683
2019-05-28,94287.7558042922
2019-05-29,93154.52960172141
2019-05-30,93555.99111281637
2019-05-31,91974.58501059047
2019-06-03,91065.33948888435
2019-06-04,92226.23090350983
2019-06-05,92631.19282906833
2019-06-06,92936.4728883769
2019-06-07,93405.51442745757
2019-06-10,93624.86833808733
2019-06-11,92674.91693001677
2019-06-12,91897.63682997879
2019-06-13,92649.91827522204
2019-06-14,92050.19236046038
2019-06-17,92773.84701863541
2019-06-18,94484.36376495287
2019-06-19,94998.07153440456
2019-06-20,96324.68618616571
2019-06-21,96110.81260073965
2019-06-24,96100.3238272563
2019-06-25,93643.35456861468
2019-06-26,94232.98634672604
2019-06-27,94677.78990901902
2019-06-28,94842.35909577247
2019-07-01,96751.99138886403
2019-07-02,97344.13590011955
2019-07-03,98425.87153864221
2019-07-05,98110.84925143975
2019-07-08,97074.55205785268
2019-07-09,97819.00609521703
2019-07-10,99277.74767996494
2019-07-11,99151.73241376353
2019-07-12,99986.02399654881
2019-07-15,100415.45879541957
2019-07-16,99706.18343144245
2019-07-17,98970.82058043944
2019-07-18,99201.42145008335
2019-07-19,98035.17854032404
2019-07-22,99034.33262645881
2019-07-23,99873.05370337662
2019-07-24,100948.20315902084
2019-07-25,99498.04726377505
2019-07-26,100965.21951138481
2019-07-29,100500.1933936318
2019-07-30,99841.12347101417
2019-07-31,98126.72499350645
2019-08-01,97490.614517312
2019-08-02,95633.83258888114
2019-08-05,91302.72919407161
2019-08-06,92690.36002256401
2019-08-07,92860.28114913084
2019-08-08,94710.42951076885
2019-08-09,93836.83663030496
2019-08-12,92769.45986115644
2019-08-13,93945.99494232303
2019-08-14,91151.78458004048
2019-08-15,91246.24433246366
2019-08-16,92203.03074740572
2019-08-19,93136.1157186419
2019-08-20,92247.83200829872
2019-08-21,93418.95637190033
2019-08-22,92892.79794754526
2019-08-23,88617.17608957553
2019-08-26,90193.46247290939
2019-08-27,89983.51749018591
2019-08-28,90230.60980250369
2019-08-29,91177.60343835963
2019-08-30,90778.90729311813
2019-09-03,89678.05917792779
2019-09-04,91131.40996195366
2019-09-05,92927.08336392217
2019-09-06,92836.47018380044
2019-09-09,92495.65183227845
2019-09-10,92124.84821050125
2019-09-11,93368.01090167448
2019-09-12,93963.59483433882
2019-09-13,93468.56803386196
2019-09-16,92833.39879132171
2019-09-17,93351.90766969134
2019-09-18,93362.84201508394
2019-09-19,93574.61333380075
2019-09-20,92109.57301922925
2019-09-23,92158.33251663891
2019-09-24,90732.06054049305
2019-09-25,91545.51309870288
2019-09-26,91269.77981217048
2019-09-27,90324.14986082545
2019-09-30,91025.28809532576
2019-10-01,90216.21846776415
2019-10-02,88666.58207160197
2019-10-03,89251.17880067715
2019-10-04,90345.51725690832
2019-10-07,90037.38417244687
2019-10-08,88658.3892285988
2019-10-09,89497.65845486737
2019-10-10,90323.6830310256
2019-10-11,91785.19911282862
2019-10-14,91852.79270144971
2019-10-15,93593.37986496469
2019-10-16,93242.13178965052
2019-10-17,93570.99822172103
2019-10-18,92230.33204039259
2019-10-21,93437.99057723826
2019-10-22,92369.99884678103
2019-10-23,92596.08204284613
2019-10-24,93930.12025059314
2019-10-25,95014.16965734829
2019-10-28,96475.32403485515
2019-10-29,95363.19457226565
2019-10-30,96033.12112992466
2019-10-31,96073.55569292075
2019-11-01,97373.15519179005
2019-11-04,98252.37721600565
2019-11-05,98316.44236048526
2019-11-06,98007.55275057376
2019-11-07,98507.44171970012
2019-11-08,99095.61746504488
2019-11-11,98887.45633211575
2019-11-12,99295.04688194444
2019-11-13,99224.79393022993
2019-11-14,99214.43934478654
2019-11-15,100154.4599507202
2019-11-18,100417.35259960254
2019-11-19,100630.10017041673
2019-11-20,99750.93511545102
2019-11-21,99366.49221174071
2019-11-22,99503.85062217258
2019-11-25,101221.8129318687
2019-11-26,101528.78503427203
2019-11-27,102555.69022466481
2019-11-29,101871.89255177516
2019-12-02,100236.87829484095
2019-12-03,99162.9649313513
2019-12-04,99935.47702120032
2019-12-05,100118.14256365245
2019-12-06,101661.200547284
2019-12-09,101038.32796004415
2019-12-10,100928.75732835679
2019-12-11,101691.29145099517
2019-12-12,102858.79834024631
2019-12-13,103322.14143259155
2019-12-16,104807.64073771358
2019-12-17,104882.5633177868
2019-12-18,105006.67865609871
2019-12-19,106078.33128599449
2019-12-20,106718.24425702733
2019-12-23,107116.80239693144
2019-12-24,107189.25153313449
2019-12-26,108582.09851700788
2019-12-27,108434.79305916598
2019-12-30,107357.28317281304
2019-12-31,107673.95893670016
2020-01-02,110339.15341660881
2020-01-03,108829.780371647
2020-01-06,109887.59689122514
2020-01-07,109824.53263277374
2020-01-08,111091.49351016476
2020-01-09,112509.32313816817
2020-01-10,110957.96876200261
2020-01-13,113573.79455061222
2020-01-14,112378.70987505412
2020-01-15,112444.0343169138
2020-01-16,114762.06722589818
2020-01-17,116475.98476349618
2020-01-21,116417.6841305302
2020-01-22,117210.51685966666
2020-01-23,118294.81550083248
2020-01-24,115228.44435002563
2020-01-27,107814.47928037265
2020-01-28,110096.2022560522
2020-01-29,110264.1939530764
2020-01-30,110820.66167824382
2020-01-31,108471.65568155659
2020-02-03,110512.18192503494
2020-02-04,113707.0377553638
2020-02-05,113262.87551036855
2020-02-06,115545.08530379922
2020-02-07,114225.49606683245
2020-02-10,117696.11255818834
2020-02-11,117815.13672799736
2020-02-12,120722.05481219378
2020-02-13,120653.54463503364
2020-02-14,121470.15980621334
2020-02-18,121682.25950181497
2020-02-19,125203.11614302437
2020-02-20,121639.81076091474
2020-02-21,115577.270573279
2020-02-24,104476.51995448259
2020-02-25,101893.43578169422
2020-02-26,101937.71522736295
2020-02-27,99642.68125720008
2020-02-28,99085.47502204179
2020-03-02,100588.77535273664
2020-03-03,99129.74678836645
2020-03-04,100854.33461579005
2020-03-05,99391.02889574603
2020-03-06,97193.19010052645
2020-03-09,92077.00950558702
2020-03-10,95109.62774624009
2020-03-11,92769.36574396884
2020-03-12,88318.547773911
2020-03-13,91692.91275955952
2020-03-16,88041.18233488605
2020-03-17,89973.62473056564
2020-03-18,88358.38849262835
2020-03-19,88423.3653237708
2020-03-20,87107.3687689445
2020-03-23,86329.31894351753
2020-03-24,89005.4240482816
2020-03-25,89475.6626175309
2020-03-26,91295.35618623256
2020-03-27,90058.37095906492
2020-03-30,91362.82152251706
2020-03-31,90519.78753032476
2020-04-01,86665.83998358116
2020-04-02,87476.48826989272
2020-04-03,86840.8262629593
2020-04-06,89725.34212362817
2020-04-07,89817.90415872159
2020-04-08,91311.90951187973
2020-04-09,91436.90479245258
2020-04-13,92036.17046902537
2020-04-14,95684.82798071753
2020-04-15,94347.45706104716
2020-04-16,95721.48971603418
2020-04-17,96985.79448438702
2020-04-20,95774.31856736197
2020-04-21,92366.57990744329
2020-04-22,94814.69834551244
2020-04-23,94665.0017641778
2020-04-24,96132.10623542592
2020-04-27,96975.0403540741
2020-04-28,95583.03247427428
2020-04-29,98567.57747332001
2020-04-30,98513.44077414203
2020-05-01,95631.87195780338
2020-05-04,96560.13628922531
2020-05-05,97577.5215484043
2020-05-06,97896.45035924077
2020-05-07,99143.26837475922
2020-05-08,100547.20119640461
2020-05-11,101717.95500483635
2020-05-12,99121.34636813373
2020-05-13,97867.19376368422
2020-05-14,99002.29842663981
2020-05-15,99547.08237388637
2020-05-18,101776.36395900045
2020-05-19,101270.86118747521
2020-05-20,103492.42844095404
2020-05-21,102095.17809032946
2020-05-22,102489.90190870807
2020-05-26,102515.77037779943
2020-05-27,103461.30365600812
2020-05-28,103125.98642241562
2020-05-29,105249.73675225538
