,equity
2020-09-30,137415.14285479614
2020-10-01,139498.70976100257
2020-10-02,135591.788885787
2020-10-05,138357.36683912284
2020-10-06,135908.52727712807
2020-10-07,138111.53458684124
2020-10-08,138683.74064405015
2020-10-09,140757.37020396793
2020-10-12,147577.28264086734
2020-10-13,147591.90078083053
2020-10-14,145137.5091307354
2020-10-15,141582.76775315456
2020-10-16,140940.84583553975
2020-10-19,138723.5342201985
2020-10-20,139023.55593440737
2020-10-21,138908.00607268943
2020-10-22,138906.3126060569
2020-10-23,139158.60317248155
2020-10-26,137159.21095372664
2020-10-27,138015.76200837173
2020-10-28,134106.27679712142
2020-10-29,135432.5220713103
2020-10-30,133593.3185045077
2020-11-02,133680.52122739988
2020-11-03,135007.43542650645
2020-11-04,138932.81880616915
2020-11-05,141603.27583607915
2020-11-06,141801.14671013135
2020-11-09,133581.16625192648
2020-11-10,128997.34255538657
2020-11-11,132352.81299678003
2020-11-12,131573.6809758434
2020-11-13,132950.92314024275
2020-11-16,134190.81131945306
2020-11-17,133682.57436268413
2020-11-18,132417.2033915104
2020-11-19,133738.7315515203
2020-11-20,132629.18663790863
2020-11-23,132640.49213564117
2020-11-24,134830.50770506257
2020-11-25,135881.11535394395
2020-11-27,137432.76583587352
2020-11-30,137733.64316000987
2020-12-01,140038.7158784538
2020-12-02,140283.9384755568
2020-12-03,140523.65567633984
2020-12-04,141219.11569186347
2020-12-07,142191.98587534446
2020-12-08,142726.46746018078
2020-12-09,138781.43895772114
2020-12-10,139456.34904576346
2020-12-11,139066.16472587743
2020-12-14,140199.67878985126
2020-12-15,141778.46201098437
2020-12-16,142649.00544900465
2020-12-17,143937.56661014876
2020-12-18,142736.66105291236
2020-12-21,141074.99153955892
2020-12-22,141526.25717219143
2020-12-23,140787.25401863994
2020-12-24,141459.77015411376
2020-12-28,143070.89113133666
2020-12-29,142620.23460196354
2020-12-30,142601.8438523208
2020-12-31,142969.31055573054
2021-01-04,137549.5800421123
2021-01-05,138056.86552926028
2021-01-06,136268.99446851
2021-01-07,139637.34420482378
2021-01-08,141623.10230747698
2021-01-11,139159.71764838352
2021-01-12,138928.54578847977
2021-01-13,139959.99928934016
2021-01-14,139137.08411360826
2021-01-15,137842.5206668649
2021-01-19,140095.52488898672
2021-01-20,143874.79052505805
2021-01-21,145968.6253749468
2021-01-22,144912.32112541902
2021-01-25,148116.01307954913
2021-01-26,148256.04789979674
2021-01-27,139102.35067243082
2021-01-28,140196.54095149116
2021-01-29,137704.5271157794
2021-02-01,140471.4464749835
2021-02-02,142376.76911083906
2021-02-03,139895.0406155584
2021-02-04,142464.680940207
2021-02-05,143059.70078423255
2021-02-08,144387.47440027216
2021-02-09,144332.53676072776
2021-02-10,143497.6793664482
2021-02-11,145387.229358413
2021-02-12,147408.6344272562
2021-02-16,146398.00453835365
