,sleeve_equity
2019-12-09,108796.06638171326
2019-12-10,109027.82276573134
2019-12-11,109590.01793883875
2019-12-12,109302.56196768157
2019-12-13,109670.06903696131
2019-12-16,109665.832463316
2019-12-17,109649.80389767724
2019-12-18,109657.38749256819
2019-12-19,109871.46606722608
2019-12-20,109955.75202325181
2019-12-23,110211.13977084766
2019-12-24,110991.66165870556
2019-12-26,111648.29136407808
2019-12-27,111621.21016588825
2019-12-30,111807.77162088071
2019-12-31,111975.78541896644
2020-01-02,112625.15088054276
2020-01-03,113805.20316735766
2020-01-06,114750.73825410748
2020-01-07,115123.98244486075
2020-01-08,114396.62845624742
2020-01-09,113853.01587847415
2020-01-10,114431.58289478775
2020-01-13,113717.35526748924
2020-01-14,113633.12092151433
2020-01-15,114182.71853433941
2020-01-16,114038.80069685941
2020-01-17,114210.58009799075
2020-01-21,114312.91200633356
2020-01-22,114345.7652959541
2020-01-23,114555.42171995608
2020-01-24,115099.70904984964
2020-01-27,115738.68731145884
2020-01-28,114900.24874135136
2020-01-29,115406.66811748299
2020-01-30,115414.28564554977
2020-01-31,115958.5845471724
2020-02-03,115347.4467422628
2020-02-04,114130.18961275522
2020-02-05,114245.16553014178
2020-02-06,114745.25684392524
2020-02-07,114992.80984146298
2020-02-10,115234.04229134155
2020-02-11,114913.35128037131
2020-02-12,114838.9028983088
2020-02-13,115370.58793325147
2020-02-14,115763.36828115703
2020-02-18,116970.62199697795
2020-02-19,117527.54848601128
2020-02-20,117920.33699000887
2020-02-21,119367.51028835049
2020-02-24,120151.14133201074
2020-02-25,118282.35159019464
2020-02-26,118732.27090684777
2020-02-27,118753.28658884506
2020-02-28,114987.90157394388
2020-03-02,115582.29560540566
2020-03-03,118452.35799413362
2020-03-04,118601.4236512342
2020-03-05,120836.421291401
2020-03-06,120877.04032567875
2020-03-09,121051.75872387277
2020-03-10,118817.3653982738
2020-03-11,118448.52135892413
2020-03-12,114328.5070601448
2020-03-13,111809.55128541205
2020-03-16,110616.69468149325
2020-03-17,111514.54795146626
2020-03-18,110063.57979843685
2020-03-19,108714.832398231
2020-03-20,109729.71696504805
2020-03-23,112459.80199380757
2020-03-24,115686.1321794676
2020-03-25,114429.67496637435
2020-03-26,115651.70154812885
2020-03-27,115028.08736965778
2020-03-30,115450.12579327158
2020-03-31,112382.47792867229
2020-04-01,113192.73007488438
2020-04-02,114600.48196599372
2020-04-03,115047.28255487133
2020-04-06,117656.36610552105
2020-04-07,117166.42719295427
2020-04-08,116250.23191785131
2020-04-09,118896.48110806818
2020-04-13,120686.02117543077
2020-04-14,121529.09544762447
2020-04-15,120978.30933414825
2020-04-16,120881.92105264906
2020-04-17,118719.13009967824
2020-04-20,119497.50606263305
2020-04-21,118746.74267702979
2020-04-22,120866.53040572119
2020-04-23,121938.63676615928
2020-04-24,121459.14384692814
2020-04-27,120713.11936639427
2020-04-28,120215.77923059496
2020-04-29,120830.61770656807
2020-04-30,118806.62388629385
2020-05-01,119430.29450924249
2020-05-04,119800.8435311476
2020-05-05,120250.7906438628
2020-05-06,118881.31886424286
2020-05-07,120495.70074069635
2020-05-08,119853.99270774797
2020-05-11,119192.4372678737
2020-05-12,119602.68763807412
2020-05-13,120621.6352773145
2020-05-14,121567.79127505356
2020-05-15,122176.52581256478
2020-05-18,121356.19547216223
2020-05-19,122394.97062486286
2020-05-20,122654.42429814127
2020-05-21,121012.65854387867
2020-05-22,121669.43360799992
2020-05-26,120082.38271585458
2020-05-27,120237.67381205228
2020-05-28,120594.27695428845
2020-05-29,121380.02631477754
2020-06-01,121875.26798662539
2020-06-02,121175.49747105513
2020-06-03,119194.89114845193
2020-06-04,120299.20015830183
2020-06-05,118226.3226846708
2020-06-08,119310.46368859471
2020-06-09,120286.83256648207
2020-06-10,121751.35417385303
2020-06-11,120975.69055575266
2020-06-12,121127.8967235638
2020-06-15,120936.17010146854
2020-06-16,120883.33873697401
2020-06-17,121088.46349267545
2020-06-18,120876.90315325846
2020-06-19,122060.91603475335
2020-06-22,122762.0966991701
2020-06-23,123681.54558636158
2020-06-24,123297.9961082961
2020-06-25,123231.93284365062
2020-06-26,123721.4472400571
2020-06-29,123781.05432936519
2020-06-30,124270.5660343176
2020-07-01,123774.57366347524
2020-07-02,124012.75529368283
2020-07-06,124674.24698731361
2020-07-07,125375.41957910749
2020-07-08,126069.98806515006
2020-07-09,125765.81317131156
2020-07-10,125474.85295140374
2020-07-13,125613.81013167235
2020-07-14,126136.40495472762
2020-07-15,126235.68554564702
2020-07-16,125170.86612108347
2020-07-17,126090.29509153373
2020-07-20,126632.72094144233
2020-07-21,127995.30123203293
2020-07-22,129734.89850542851
2020-07-23,130760.1454039499
2020-07-24,131753.78223169042
2020-07-27,134172.84824476356
2020-07-28,135214.50776040772
2020-07-29,136160.23248804687
2020-07-30,135221.4279600623
2020-07-31,136365.8720157329
2020-08-03,136509.81557260858
2020-08-04,139216.68963913803
2020-08-05,140422.81849006237
2020-08-06,142163.45459171897
2020-08-07,140052.830110568
2020-08-10,139600.57669858757
2020-08-11,132603.92847314477
2020-08-12,132028.33449916574
2020-08-13,134927.09363417132
2020-08-14,134385.75149773085
2020-08-17,137099.48872410494
2020-08-18,138250.7817949646
2020-08-19,134180.2772147528
2020-08-20,135043.75854490927
2020-08-21,134036.43177303261
2020-08-24,133330.6289150087
2020-08-25,133481.42222522007
2020-08-26,134947.95138335042
2020-08-27,133495.20005601543
2020-08-28,135642.174663477
2020-08-31,135932.70196045088
2020-09-01,136077.9918360833
2020-09-02,134473.83737625083
2020-09-03,133496.84908843864
2020-09-04,133826.98752135775
2020-09-08,133595.9821119885
2020-09-09,134757.94111750447
2020-09-10,134368.50331550126
2020-09-11,134361.95207710014
2020-09-14,135312.65022816882
2020-09-15,135022.23060193623
2020-09-16,135365.57518567008
2020-09-17,134698.8659301354
2020-09-18,134857.3463624444
2020-09-21,132427.9845479968
2020-09-22,131853.67707408164
2020-09-23,129305.4828244202
2020-09-24,129676.03963706174
2020-09-25,129371.9203246757
2020-09-28,130442.79684212441
2020-09-29,131349.40808486575
2020-09-30,130675.01579053556
2020-10-01,131693.99473884943
2020-10-02,131590.8645640017
2020-10-05,132151.97888795234
2020-10-06,130791.32133413735
2020-10-07,130739.78660625138
2020-10-08,131152.3775848215
2020-10-09,133162.41993749645
2020-10-12,132837.1642751274
2020-10-13,130992.8941128827
2020-10-14,131369.14257666847
2020-10-15,131775.20791213395
2020-10-16,131388.03473094624
2020-10-19,131444.31790844814
2020-10-20,131981.5453949017
2020-10-21,132824.8340562543
2020-10-22,131719.36172263368
2020-10-23,131600.7538218216
2020-10-26,131544.6080976784
2020-10-27,131838.23420350658
2020-10-28,130033.21344411047
2020-10-29,129566.69513075374
2020-10-30,130046.80217694388
2020-11-02,131072.93998286233
2020-11-03,131679.04849360895
2020-11-04,131619.137710637
2020-11-05,134085.3380278889
2020-11-06,134229.82457988124
2020-11-09,129008.36340731484
2020-11-10,129444.28734637839
2020-11-11,129000.82447965675
2020-11-12,129619.56829012294
2020-11-13,130320.00468908489
2020-11-16,130314.25144445823
2020-11-17,129934.98032164075
2020-11-18,129345.60997703852
2020-11-19,129153.0935200736
2020-11-20,129462.47700076111
2020-11-23,127443.20016475525
2020-11-24,125887.53711314479
2020-11-25,125859.00570479094
2020-11-27,124990.54473269434
2020-11-30,124424.13050579396
2020-12-01,126114.20997250092
2020-12-02,126750.76449212793
2020-12-03,127433.25629559415
2020-12-04,127171.95227366578
2020-12-07,128540.14114207748
2020-12-08,128863.38038786541
2020-12-09,127190.79366210925
2020-12-10,127027.82133944654
2020-12-11,127196.46489807617
2020-12-14,126696.2028638187
2020-12-15,127960.33472395924
2020-12-16,128466.04739020352
2020-12-17,129435.2593912717
2020-12-18,129267.08954370962
2020-12-21,128950.3555744269
2020-12-22,128164.0326578593
2020-12-23,128801.49494298155
2020-12-24,129175.67092777931
2020-12-28,128833.7725110674
2020-12-29,129175.88582383623
2020-12-30,129897.41770775057
2020-12-31,130250.20702515607
2021-01-04,132371.7834476765
2021-01-05,132657.5303263825
2021-01-06,130913.07666053872
2021-01-07,130671.54312537095
2021-01-08,127265.24239942865
2021-01-11,127010.19676877477
2021-01-12,127549.97365161456
2021-01-13,127188.74573381443
2021-01-14,127145.52210578378
2021-01-15,126109.73765761677
2021-01-19,126811.43511336048
2021-01-20,128060.32023895223
2021-01-21,128017.58554809108
2021-01-22,127333.95193214528
2021-01-25,127424.74685030745
2021-01-26,127221.616706171
2021-01-27,126701.79635373724
2021-01-28,126812.31659070833
2021-01-29,126780.91320407383
2021-02-01,127510.32985464651
2021-02-02,126555.99971866602
2021-02-03,126439.04733534335
2021-02-04,124773.3765826555
2021-02-05,125474.59434760729
2021-02-08,126153.80524726551
2021-02-09,126356.97238289044
2021-02-10,126629.68996199234
2021-02-11,125980.60126069392
2021-02-12,125755.62907645544
2021-02-16,124695.40654539378
2021-02-17,123893.26013153383
2021-02-18,123909.22675497094
2021-02-19,124154.3845104812
2021-02-22,125042.49853272823
2021-02-23,124894.82599839795
2021-02-24,124849.56966875875
2021-02-25,123648.82248926722
2021-02-26,122263.94478605292
2021-03-01,122234.1373086751
2021-03-02,122491.30095026453
2021-03-03,121967.35302191194
2021-03-04,121517.82153278944
2021-03-05,121546.19856082098
2021-03-08,121107.97041243159
2021-03-09,121964.29698954537
2021-03-10,122173.99254211833
2021-03-11,122138.3614845738
2021-03-12,122129.72312676074
2021-03-15,122332.19191827229
2021-03-16,122378.11414562694
2021-03-17,122775.33390803938
2021-03-18,122450.06097885624
2021-03-19,122682.91450967194
2021-03-22,122622.46467107107
2021-03-23,122177.06631702482
2021-03-24,122376.53430304927
2021-03-25,122215.0214628776
2021-03-26,122353.42824993952
2021-03-29,121772.95507614937
2021-03-30,120948.83114633031
2021-03-31,121588.94548996382
2021-04-01,122129.54131827786
2021-04-05,122111.57082137742
2021-04-06,122501.49804777536
2021-04-07,122363.58137998955
2021-04-08,122888.45243562234
2021-04-09,122516.58200484561
2021-04-12,122219.6785703448
2021-04-13,122564.60201183456
2021-04-14,122351.71251052275
2021-04-15,123096.46990585577
2021-04-16,123365.15759582391
2021-04-19,123228.02954926106
2021-04-20,123403.98146081471
2021-04-21,123895.97726116079
2021-04-22,123565.36291462608
2021-04-23,123368.90391897025
2021-04-26,123509.16112508693
2021-04-27,123375.34287078673
2021-04-28,123531.52056508894
2021-04-29,123311.66019798987
2021-04-30,123133.22841531054
2021-05-03,123818.37416041084
2021-05-04,123426.42605610572
2021-05-05,123646.3366678044
2021-05-06,124535.44462281032
2021-05-07,125023.43624954873
2021-05-10,125213.87873455035
2021-05-11,125261.81258451955
2021-05-12,124594.32702797715
2021-05-13,124867.60289633038
2021-05-14,125476.57319899551
2021-05-17,126261.19486561535
2021-05-18,126393.92544401764
2021-05-19,126439.80039380075
2021-05-20,126776.54446151335
2021-05-21,126810.21831728298
2021-05-24,126940.71376329247
2021-05-25,127614.18083376806
2021-05-26,127447.8211880943
2021-05-27,127480.50465888286
2021-05-28,127793.22284675829
2021-06-01,127569.2006659089
2021-06-02,127975.27971807745
2021-06-03,126341.74545276664
2021-06-04,127208.42289955704
2021-06-07,127520.31659436288
2021-06-08,127280.25664016728
2021-06-09,127117.20961347077
2021-06-10,127457.3255344652
2021-06-11,126542.82336918892
2021-06-14,126071.8694235326
2021-06-15,125792.50919453659
2021-06-16,124545.42263511155
2021-06-17,122359.60591036972
2021-06-18,122089.64635266845
2021-06-21,122720.3032639199
2021-06-22,122501.87144223497
2021-06-23,122467.6393597453
2021-06-24,122436.53283509743
2021-06-25,122608.34605588758
2021-06-28,122605.34657759307
2021-06-29,122059.16658143324
2021-06-30,122309.01312134479
2021-07-01,122487.05784592737
2021-07-02,122827.43069000973
2021-07-06,123086.6362526785
2021-07-07,123286.53494684154
2021-07-08,123252.31687503625
2021-07-09,123427.25481503966
2021-07-12,123368.76589346831
2021-07-13,123443.68454996048
2021-07-14,124062.64740143536
2021-07-15,124075.83542715313
2021-07-16,123474.54313397748
2021-07-19,123547.09164944428
2021-07-20,123467.48820505253
2021-07-21,123239.36100258934
2021-07-22,123334.73500472575
2021-07-23,123162.63321581096
2021-07-26,123032.78080919519
2021-07-27,123130.00646395709
2021-07-28,123384.55309577947
2021-07-29,123947.4005335141
2021-07-30,123543.44061877337
2021-08-02,123480.69743817401
2021-08-03,123444.89049612639
2021-08-04,123456.9910159776
2021-08-05,123256.57895901511
2021-08-06,121993.5845444626
2021-08-09,121213.52688494543
2021-08-10,121214.0814750084
2021-08-11,121657.01973316856
2021-08-12,121683.38884867981
2021-08-13,122276.05637032076
2021-08-16,122485.47643843235
2021-08-17,122410.46854143633
2021-08-18,122447.70471282092
2021-08-19,122308.22508278303
2021-08-20,122334.00013699499
2021-08-23,122912.64175027568
2021-08-24,122879.85890745709
2021-08-25,122519.7454864096
2021-08-26,122578.3749333426
2021-08-27,123354.41852243827
2021-08-30,123087.17033928458
2021-08-31,123200.182065937
2021-09-01,123203.60729347733
2021-09-02,123054.2718728722
2021-09-03,123655.46827696997
2021-09-07,122543.06073255104
2021-09-08,122425.2603950465
2021-09-09,122647.61706710671
2021-09-10,122392.44789650425
2021-09-13,122560.7425531157
2021-09-14,122885.20287156412
2021-09-15,122587.9798018492
2021-09-16,121446.84442547665
2021-09-17,121370.90625422035
2021-09-20,121663.40096033714
2021-09-21,121938.38989653983
2021-09-22,121763.75896908189
2021-09-23,121213.9254726136
2021-09-24,121153.54061413553
2021-09-27,121251.50213408368
2021-09-28,120793.80159330051
2021-09-29,120621.35646600857
2021-09-30,121345.15346535406
2021-10-01,121444.56560102181
2021-10-04,121656.68817664972
2021-10-05,121444.73475891622
2021-10-06,121566.00505233232
2021-10-07,121326.55315476746
2021-10-08,121345.94787199154
2021-10-11,121260.70389903011
2021-10-12,121464.6018850981
2021-10-13,122271.56210317826
2021-10-14,122373.69994257268
2021-10-15,121517.51699791985
2021-10-18,121400.20480515886
2021-10-19,121553.74103196891
2021-10-20,121973.59533056646
2021-10-21,121930.32478773949
2021-10-22,122248.08908958966
2021-10-25,122609.44391106808
2021-10-26,122212.63704770996
2021-10-27,122363.31310637886
2021-10-28,122349.75800407528
2021-10-29,121860.60243966995
2021-11-01,122158.40112595295
2021-11-02,122035.32937238847
2021-11-03,121559.85506502623
2021-11-04,122195.09527930152
2021-11-05,122886.78518776385
2021-11-08,123085.4867226143
2021-11-09,123371.14605962488
2021-11-10,124001.81549308132
2021-11-11,124375.27719378959
2021-11-12,124509.11040236874
2021-11-15,124399.77106831351
2021-11-16,123889.18383374672
2021-11-17,124529.6346979001
2021-11-18,124302.76705968163
2021-11-19,123763.82121445029
2021-11-22,122195.43101518793
2021-11-23,121601.04401887636
2021-11-24,121545.04601285375
2021-11-26,121450.49061683184
2021-11-29,121369.93731073412
2021-11-30,120977.27014190379
2021-12-01,121208.84140104061
2021-12-02,120886.33952455068
2021-12-03,121334.87525615653
2021-12-06,121204.65886417212
2021-12-07,121392.32511699272
2021-12-08,121421.09074194019
2021-12-09,121097.01671413315
2021-12-10,121319.67738224009
2021-12-13,121453.32315930075
2021-12-14,120957.54366764233
2021-12-15,121183.3678519612
2021-12-16,121822.43715617605
2021-12-17,121683.13031998988
2021-12-20,121439.43297551699
2021-12-21,121415.49852290886
2021-12-22,121954.70467058531
2021-12-23,122085.340763593
2021-12-27,122222.82208500511
2021-12-28,121972.29476846015
2021-12-29,121955.2538526385
2021-12-30,122370.81182471626
2021-12-31,122769.15090470781
2022-01-03,121852.35761709545
2022-01-04,122272.77907566105
2022-01-05,122110.53703986612
2022-01-06,121451.39112336948
2022-01-07,121693.72387626217
2022-01-10,121856.41610643436
2022-01-11,122551.77635906197
