,equity
2021-11-30,166529.93347876135
2021-12-01,163716.7488562156
2021-12-02,164876.991402869
2021-12-03,161427.64816763246
2021-12-06,162793.4686785817
2021-12-07,168051.611208249
2021-12-08,169202.34524971776
2021-12-09,164579.44432088037
2021-12-10,167746.69853915175
2021-12-13,162398.55509042816
2021-12-14,158302.9205068097
2021-12-15,161616.19912718516
2021-12-16,153257.7847272804
2021-12-17,151098.76608320876
2021-12-20,149723.71497022675
2021-12-21,152100.17361515673
2021-12-22,153484.8448632168
2021-12-23,154475.0255001953
2021-12-27,156820.01216487793
2021-12-28,156196.85599214645
2021-12-29,156116.8117308028
2021-12-30,155569.60458078264
2021-12-31,154473.8840421068
2022-01-03,156143.82494070142
2022-01-04,153830.65219181497
2022-01-05,148567.6090387898
2022-01-06,148297.4004052952
2022-01-07,147021.5006765961
2022-01-10,145787.72094521025
2022-01-11,146197.4517589737
2022-01-12,146320.55211993362
2022-01-13,145694.38740138523
2022-01-14,145713.1780858187
2022-01-18,144919.03166532758
2022-01-19,144540.3264815386
2022-01-20,144121.0866943248
2022-01-21,143385.2339557532
2022-01-24,143430.89550973865
2022-01-25,143055.80203809755
2022-01-26,142980.3511730423
2022-01-27,142831.3937822552
2022-01-28,143581.68816690915
2022-01-31,144139.49785844487
2022-02-01,144377.27531357427
2022-02-02,144756.50672841983
2022-02-03,143754.5286121169
2022-02-04,143951.19213822726
2022-02-07,143817.77819544624
2022-02-08,144161.85362158087
2022-02-09,144801.4125643253
2022-02-10,143949.82145012985
2022-02-11,143119.7545876102
2022-02-14,142998.13217445626
2022-02-15,143552.45431353056
2022-02-16,143593.2181432052
2022-02-17,142784.6482057111
2022-02-18,142535.7432668029
2022-02-22,142124.83630898976
2022-02-23,141556.93093771147
2022-02-24,142057.21492275738
2022-02-25,142702.85339396397
2022-02-28,142685.43959223584
2022-03-01,142159.78756234632
2022-03-02,142701.09818700713
2022-03-03,142563.32878192773
2022-03-04,142342.3240742085
2022-03-07,141372.28187794334
2022-03-08,141176.92731664493
2022-03-09,141871.9839496319
2022-03-10,141786.84551725443
2022-03-11,141389.1034770846
2022-03-14,141164.10214792448
2022-03-15,141842.6069645231
2022-03-16,142599.4183179086
2022-03-17,143138.5940604753
2022-03-18,143598.1873919795
2022-03-21,143586.5101648153
2022-03-22,145972.30950448097
2022-03-23,144046.7775401611
2022-03-24,146732.6561763272
2022-03-25,146637.07060378417
2022-03-28,148839.66306970493
2022-03-29,151469.13906638813
2022-03-30,149778.4602291533
2022-03-31,147651.66967294167
2022-04-01,147475.7179512509
2022-04-04,150407.37739839155
2022-04-05,146873.39722834382
2022-04-06,143656.18891282822
2022-04-07,143886.52013108163
2022-04-08,142321.09560355556
2022-04-11,139819.51163229154
2022-04-12,140779.57321357596
2022-04-13,141188.83615180055
2022-04-14,140745.28523179836
2022-04-18,140762.974885369
2022-04-19,141338.1927546114
2022-04-20,140117.9127919098
2022-04-21,138624.29434290988
2022-04-22,137737.52017176908
2022-04-25,137875.14762469134
2022-04-26,137036.75021163013
2022-04-27,137119.713061644
2022-04-28,137838.19447790785
2022-04-29,136769.10100291792
2022-05-02,136940.81919409987
2022-05-03,137073.0122443972
2022-05-04,137937.0315218992
2022-05-05,136780.46149926056
2022-05-06,136581.45987686072
2022-05-09,135764.07597074952
2022-05-10,135824.94948172595
2022-05-11,135433.60882353567
2022-05-12,135411.93481391814
2022-05-13,136000.6320896957
2022-05-16,135903.17472676147
2022-05-17,136420.52122241628
2022-05-18,135185.6414966844
2022-05-19,134981.02489697083
2022-05-20,134996.3025144806
2022-05-23,135468.49174065306
2022-05-24,135295.94630509286
2022-05-25,135518.13476671765
2022-05-26,136061.65494389628
2022-05-27,136832.78831777695
2022-05-31,136649.4030832835
2022-06-01,136384.73697618928
2022-06-02,137017.22706117856
2022-06-03,136446.9011498154
2022-06-06,135959.41692805407
2022-06-07,136631.56434826553
2022-06-08,136059.4464914858
2022-06-09,133967.41943531367
2022-06-10,132176.38681724254
2022-06-13,131047.85519044047
2022-06-14,131042.60671488229
2022-06-15,131291.99460772244
2022-06-16,130731.05400813796
2022-06-17,130773.58073223152
2022-06-21,131199.50835059234
2022-06-22,131175.30683923204
2022-06-23,131349.301480645
2022-06-24,131903.31996420238
2022-06-27,131795.73737400156
2022-06-28,131296.513807134
2022-06-29,131284.13326329552
2022-06-30,131094.39542594494
2022-07-01,131355.54261839826
2022-07-05,131408.24934293228
2022-07-06,131497.4125714721
2022-07-07,131871.14727990676
2022-07-08,131858.62169584015
2022-07-11,131563.51408683235
2022-07-12,131315.7476676508
2022-07-13,131128.50125370987
2022-07-14,131080.06193689402
2022-07-15,131547.37230576735
2022-07-18,131355.32921718943
2022-07-19,132019.08807277767
2022-07-20,132187.97149483155
2022-07-21,132503.84724650253
2022-07-22,132237.1559806963
2022-07-25,132282.6051080874
2022-07-26,131409.32070940416
2022-07-27,133296.03298967812
2022-07-28,133921.31415049013
2022-07-29,135075.3516981493
2022-08-01,135040.73086143355
2022-08-02,134823.66001469304
2022-08-03,136122.7264980844
2022-08-04,136372.6767263396
2022-08-05,135969.04214698455
2022-08-08,135762.77785678866
2022-08-09,135013.68954934028
2022-08-10,136835.20732258278
2022-08-11,136311.37851967546
2022-08-12,137867.49014535197
2022-08-15,138511.38075444428
2022-08-16,138331.0888074268
2022-08-17,137291.36984093353
2022-08-18,137500.9041964758
2022-08-19,135913.53164741123
2022-08-22,133869.39424261122
2022-08-23,133790.30292962887
2022-08-24,133944.31724214728
2022-08-25,134705.8369413642
2022-08-26,132708.5488147804
2022-08-29,132290.99058974034
2022-08-30,132018.64703539203
2022-08-31,131856.28456593165
2022-09-01,131920.0202753451
2022-09-02,131630.84040657975
2022-09-06,131565.70539302885
2022-09-07,131942.9202005321
2022-09-08,132148.42000785956
2022-09-09,132557.40745336434
2022-09-12,132848.53824443155
2022-09-13,131598.19834910257
2022-09-14,131806.46809907956
2022-09-15,131196.9797419201
2022-09-16,130940.70904240926
2022-09-19,131280.77741284636
2022-09-20,130912.59280836539
2022-09-21,130191.45777078229
2022-09-22,129871.29274654841
2022-09-23,129525.11396271898
2022-09-26,129329.69584421601
2022-09-27,129289.971509288
2022-09-28,129714.07901739648
2022-09-29,129284.01762180697
2022-09-30,128976.0853690144
2022-10-03,129469.33990381665
2022-10-04,130011.4239894558
2022-10-05,130046.75921712613
2022-10-06,129813.1876702498
2022-10-07,129164.87117595699
2022-10-10,129002.54211675918
2022-10-11,128871.34882662294
2022-10-12,128810.35645031497
2022-10-13,129423.77978095495
2022-10-14,129069.24052052651
2022-10-17,129533.11136008156
2022-10-18,129759.46561853736
2022-10-19,129648.30324839197
2022-10-20,129514.98880977568
2022-10-21,130097.73460409134
2022-10-24,130404.43568109769
2022-10-25,130804.43081425609
2022-10-26,130641.00029200903
2022-10-27,130501.4948263441
2022-10-28,132023.09340101384
2022-10-31,131422.0852853027
2022-11-01,131161.4851357063
2022-11-02,129696.11910279759
2022-11-03,129035.79781608388
2022-11-04,129605.29786383024
2022-11-07,130046.24017472434
2022-11-08,130347.20925560937
2022-11-09,129363.46386689256
2022-11-10,132302.03998367355
2022-11-11,133508.55844072968
2022-11-14,132930.33896663808
2022-11-15,133851.86554525874
2022-11-16,132948.3498102335
2022-11-17,132797.45761532127
2022-11-18,132827.3296807408
2022-11-21,132177.91604200128
2022-11-22,133098.0652321365
2022-11-23,133902.27394118469
2022-11-25,133351.39807946084
2022-11-28,132169.04426096394
2022-11-29,131797.28357802087
2022-11-30,134321.63005501643
2022-12-01,134388.31712549558
2022-12-02,134175.51993661287
2022-12-05,133134.91913477943
2022-12-06,132200.18473863014
2022-12-07,132036.0740120241
2022-12-08,132450.44410793795
2022-12-09,132192.1968446905
2022-12-12,132783.99084678415
2022-12-13,133276.9925982908
2022-12-14,132875.95233013388
2022-12-15,130949.33536906283
2022-12-16,130531.8270128685
2022-12-19,130067.74005421494
2022-12-20,130061.70968164073
2022-12-21,130783.82731296412
2022-12-22,129378.04416204598
2022-12-23,129456.57340495483
2022-12-27,128660.80401820842
2022-12-28,127929.25064452167
2022-12-29,128756.37922093263
2022-12-30,128710.40524895859
2023-01-03,128626.39080525056
2023-01-04,128829.73940465675
2023-01-05,128571.36339601109
2023-01-06,129693.46045532102
2023-01-09,129966.80986488404
2023-01-10,130381.76281579954
2023-01-11,131372.27797711507
2023-01-12,131684.3545229229
2023-01-13,132131.84804838456
2023-01-17,132291.8457058181
2023-01-18,131310.49780042394
2023-01-19,130603.0587808979
2023-01-20,132151.5425943537
2023-01-23,133632.41506862716
2023-01-24,133486.55658630922
2023-01-25,133314.51115161198
2023-01-26,134693.12554148966
2023-01-27,135430.04325743916
2023-01-30,133913.58808720284
2023-01-31,135030.91972544082
2023-02-01,136645.0954907862
2023-02-02,139259.6256435484
2023-02-03,137945.15048811334
2023-02-06,137369.32989067642
2023-02-07,138846.65845967148
2023-02-08,137530.66260821716
2023-02-09,136902.7231406622
2023-02-10,136497.91740051517
2023-02-13,137334.4776243714
2023-02-14,137867.3385031416
2023-02-15,138422.38925624787
2023-02-16,137071.18707040962
2023-02-17,136550.99579420118
2023-02-21,135198.82496812718
2023-02-22,135251.45788969257
2023-02-23,135687.36974155498
2023-02-24,134848.91831739503
2023-02-27,135350.3766615601
2023-02-28,135255.9702490706
2023-03-01,134744.9251459118
2023-03-02,135320.90803059808
2023-03-03,136690.2121982153
2023-03-06,136727.72860998395
2023-03-07,135758.49642461332
2023-03-08,136170.08289104927
2023-03-09,134761.52062369927
2023-03-10,134101.8175585078
2023-03-13,134274.93925681798
2023-03-14,135003.27764208973
2023-03-15,135301.24765679173
2023-03-16,136297.94761348533
2023-03-17,135969.70740014288
2023-03-20,136168.77052162617
2023-03-21,136890.87711515985
2023-03-22,135953.87222916743
2023-03-23,136767.013043194
2023-03-24,136992.41069463815
2023-03-27,136510.5238125801
2023-03-28,136147.90467504415
2023-03-29,137596.7640070955
2023-03-30,138348.5851665616
2023-03-31,139894.2446291422
2023-04-03,139756.93909104442
2023-04-04,139393.94064598193
2023-04-05,138300.7570231434
2023-04-06,138998.50460864272
2023-04-10,138923.93040062813
2023-04-11,138370.56669539516
2023-04-12,137604.29183052428
