,EW
2020-04-08,118939.92400291146
2020-04-09,120036.47704163779
2020-04-13,120229.32068689955
2020-04-14,120761.37226491515
2020-04-15,121352.43916505706
2020-04-16,121946.81001697024
2020-04-17,120854.73806967217
2020-04-20,121193.33016211254
2020-04-21,120684.02284076033
2020-04-22,121422.97625320542
2020-04-23,121994.52713180182
2020-04-24,122047.83706211066
2020-04-27,121190.15767663033
2020-04-28,121400.47210828884
2020-04-29,121868.18854179053
2020-04-30,120770.07908156447
2020-05-01,120540.70202921976
2020-05-04,120685.17100067239
2020-05-05,120797.38900434054
2020-05-06,119825.23802962175
2020-05-07,121227.85145450324
2020-05-08,120826.00590672117
2020-05-11,120588.97929205591
2020-05-12,120503.332320901
2020-05-13,120831.28904472775
2020-05-14,121743.39205819825
2020-05-15,121993.65640233044
2020-05-18,121343.80626762297
2020-05-19,121736.48758975102
2020-05-20,122463.25609564548
2020-05-21,121681.27534491054
2020-05-22,122196.99427632254
2020-05-26,121128.29422468999
2020-05-27,121269.59121131554
2020-05-28,121193.25879404592
2020-05-29,122115.50631993148
2020-06-01,122186.31247651507
2020-06-02,122021.45048011697
2020-06-03,121034.181492584
2020-06-04,120617.6681607235
2020-06-05,120513.29189306987
2020-06-08,121348.49177208368
2020-06-09,122392.85391006274
2020-06-10,123920.88567725528
2020-06-11,122051.31241526216
2020-06-12,122302.02581052396
2020-06-15,122653.76113640382
2020-06-16,122589.58639031593
2020-06-17,122872.73993293819
2020-06-18,123239.44213791844
2020-06-19,123647.44917142537
2020-06-22,124243.07473548292
2020-06-23,124578.2725248798
2020-06-24,124136.08160112362
2020-06-25,124485.06784717114
2020-06-26,124227.91717852006
2020-06-29,124427.45650916155
2020-06-30,125060.68828514969
2020-07-01,125286.40058208947
2020-07-02,125673.15643012426
2020-07-06,126821.44829673265
2020-07-07,126971.55765058522
2020-07-08,128107.08726988887
2020-07-09,129218.43386124371
2020-07-10,129498.87830578236
2020-07-13,127617.70230765209
2020-07-14,127563.70377540014
2020-07-15,127465.31010676915
2020-07-16,127028.56832324123
2020-07-17,127331.92595516374
2020-07-20,128968.15483873838
2020-07-21,128051.18374987143
2020-07-22,129029.6271851507
2020-07-23,128493.14123270601
2020-07-24,128375.6562400861
2020-07-27,129850.66024775735
2020-07-28,129845.067443471
2020-07-29,130617.0815162067
2020-07-30,130836.84466953197
2020-07-31,132069.56655790648
2020-08-03,132769.83985023285
2020-08-04,134467.08048944175
2020-08-05,134787.400962987
2020-08-06,136920.7830545772
2020-08-07,134791.05474254015
2020-08-10,133999.7689973946
2020-08-11,129248.5393200398
2020-08-12,130390.78685726317
2020-08-13,131046.25785246503
2020-08-14,130643.51740005177
2020-08-17,132762.67127640982
2020-08-18,134432.23106518917
2020-08-19,132185.60861875775
2020-08-20,134190.40959192024
2020-08-21,134825.5050264704
2020-08-24,135236.3550120095
2020-08-25,135917.41970816627
2020-08-26,138521.05562781205
2020-08-27,137180.86015241875
2020-08-28,138401.56516711804
2020-08-31,139469.23024534908
2020-09-01,141444.67026345426
2020-09-02,142000.1164049711
2020-09-03,137199.40340685507
2020-09-04,135978.38387086047
2020-09-08,134573.95139327322
2020-09-09,135869.32947715977
2020-09-10,135162.89650165255
2020-09-11,135014.73602355376
2020-09-14,135906.40509870934
2020-09-15,136289.42620486135
2020-09-16,135596.71862724517
2020-09-17,134896.01725125074
2020-09-18,134268.94898016762
2020-09-21,133787.33215723588
2020-09-22,134303.6998721603
2020-09-23,132140.2673421022
2020-09-24,132564.10799952355
2020-09-25,133381.5168009742
2020-09-28,134476.8368927844
2020-09-29,134661.30606170296
2020-09-30,134414.10776600824
2020-10-01,135503.17645268928
2020-10-02,134042.9613666089
2020-10-05,134560.58394487167
2020-10-06,133411.59236390228
2020-10-07,133938.98471387092
2020-10-08,134413.84092005086
2020-10-09,135789.09785340144
2020-10-12,138049.23833169485
2020-10-13,137621.1948650065
2020-10-14,136991.66877611063
2020-10-15,135889.05832484318
2020-10-16,135462.81803515257
2020-10-19,134631.36566501486
2020-10-20,134646.0110044257
2020-10-21,134797.95549674807
2020-10-22,134144.2247811171
2020-10-23,134334.90784592563
2020-10-26,133911.12062975147
2020-10-27,134463.87659687686
2020-10-28,132618.04010178955
2020-10-29,132612.96354565618
2020-10-30,131909.661867207
2020-11-02,132494.7753582478
2020-11-03,132981.8262947385
2020-11-04,134768.15992250215
2020-11-05,136503.3845885407
2020-11-06,136260.2321031568
2020-11-09,131226.91081133654
2020-11-10,129730.28553541939
2020-11-11,130748.49332821065
2020-11-12,131131.02885417588
2020-11-13,131779.10673938814
2020-11-16,132115.5695659574
2020-11-17,131987.30300171388
2020-11-18,131453.02255172483
2020-11-19,131943.59598648825
2020-11-20,131926.41609528466
2020-11-23,131117.74702972046
2020-11-24,131031.54055020981
2020-11-25,131291.08848215404
2020-11-27,131747.67922397776
2020-11-30,131621.05439305524
2020-12-01,132587.8231758671
