date,score,prev_w,new_w,equity_open,cost,trail_active,event,pos_return
2022-10-31,3.0,[0.10573511 0.40120603 0.49305886],[0.1 0.4 0.5],158219.2924716354,0.32946670616259166,True,,
2022-11-01,3.0,[0.10197581 0.40120088 0.49682331],[0.1 0.4 0.5],159255.73380199197,0.1517720459709885,True,,
2022-11-02,3.0,[0.09451608 0.39879991 0.50668401],[0.1 0.4 0.5],157179.99056717035,0.31517791666395356,True,,
2022-11-03,3.0,[0.0893401  0.39731526 0.51334465],[0.1 0.4 0.5],153118.16505847726,0.6129923127618866,True,,
2022-11-04,3.0,[0.10182811 0.40243182 0.49574007],[0.1 0.4 0.5],154457.970009984,0.19739425013442374,True,,
2022-11-07,3.0,[0.10006556 0.4003536  0.49958084],[0.1 0.4 0.5],154611.98357465962,0.019442125724127905,True,,
2022-11-08,3.0,[0.10302901 0.4006044  0.49636659],[0.1 0.4 0.5],155768.3418997674,0.16979107306518523,True,,
2022-11-09,3.0,[0.09858381 0.39990325 0.50151294],[0.1 0.4 0.5],155323.46315561712,0.07049855634070866,True,,
2022-11-10,3.0,[0.10688569 0.40157253 0.49154179],[0.1 0.4 0.5],158021.78358925128,0.400974481280521,True,,
2022-11-11,2.0,[0.10486278 0.40206094 0.49307629],[0.   0.35 0.65],160266.08359628962,7.544864762159926,True,,
2022-11-14,2.0,[0.         0.35057804 0.64942196],[0.   0.35 0.65],160427.04320730644,0.02781986314686576,True,,
2022-11-15,2.0,[0.         0.35252819 0.64747181],[0.   0.35 0.65],161079.43394836038,0.12217160631477801,True,,
2022-11-16,2.0,[0.         0.34747501 0.65252499],[0.   0.35 0.65],160482.30237608438,0.12156465961209688,True,,
2022-11-17,2.0,[0.         0.34631899 0.65368101],[0.   0.35 0.65],159604.59357683858,0.1762520446407422,True,,
2022-11-18,2.0,[0.         0.35417684 0.64582316],[0.   0.35 0.65],160662.8725109708,0.201319065818891,True,,
2022-11-21,2.0,[0.         0.34818478 0.65181522],[0.   0.35 0.65],160241.53648394812,0.08726199565156663,True,,
2022-11-22,2.0,[0.         0.35110812 0.64889188],[0.   0.35 0.65],160541.199154668,0.053369866005034815,True,,
2022-11-23,2.0,[0.         0.35163254 0.64836746],[0.   0.35 0.65],160972.18843570378,0.07883821431006272,True,,
2022-11-25,2.0,[0.         0.35125765 0.64874235],[0.   0.35 0.65],161311.04949867332,0.0608616874065223,True,,
2022-11-28,2.0,[0.         0.34840738 0.65159262],[0.   0.35 0.65],160943.37403058523,0.07689624962208874,True,,
2022-11-29,2.0,[0.         0.34822477 0.65177523],[0.   0.35 0.65],160531.57977381768,0.08549437085958626,True,,
2022-11-30,2.0,[0.         0.34963983 0.65036017],[0.   0.35 0.65],160469.6688125123,0.017339076369748886,True,,
2022-12-01,3.0,[0.        0.3575116 0.6424884],[0.1 0.4 0.5],162373.16888123535,6.940887780198221,True,,
2022-12-02,4.0,[0.09583465 0.39822784 0.50593751],[0.25 0.25 0.5 ],160487.45081505965,7.422481371895123,True,,
2022-12-05,4.0,[0.25328678 0.24957699 0.49713623],[0.25 0.25 0.5 ],161431.43032312015,0.1591766654541116,True,,
2022-12-06,2.0,[0.24489091 0.2497866  0.50532249],[0.   0.35 0.65],159757.2932712937,11.736932529852448,True,,
2022-12-07,2.0,[0.         0.34625016 0.65374984],[0.   0.35 0.65],158855.8701756212,0.1787052546610482,True,,
2022-12-08,1.0,[0.        0.3512334 0.6487666],[0.  0.2 0.8],159184.11890521582,7.222186787537672,True,,
2022-12-09,1.0,[0.         0.19989268 0.80010732],[0.  0.2 0.8],159181.75588091527,0.005125078494186646,True,,
2022-12-12,1.0,[0.         0.19963716 0.80036284],[0.  0.2 0.8],159135.93366392693,0.0173224394244312,True,,
2022-12-13,1.0,[0.         0.20646018 0.79353982],[0.  0.2 0.8],160457.97074482235,0.31097611837636446,True,,
2022-12-14,2.0,[0.         0.19660098 0.80339902],[0.   0.35 0.65],159805.73035189376,7.3542125845549835,True,,
2022-12-15,2.0,[0.         0.34579472 0.65420528],[0.   0.35 0.65],158797.7678675273,0.20033679066362997,True,,
2022-12-16,1.0,[0.         0.34569285 0.65430715],[0.  0.2 0.8],157778.6145142091,6.896164919912996,True,,
2022-12-19,1.0,[0.         0.19926269 0.80073731],[0.  0.2 0.8],157652.48261089134,0.03487185036158136,True,,
2022-12-20,1.0,[0.         0.19820072 0.80179928],[0.  0.2 0.8],157324.65244617895,0.08492141463714442,True,,
2022-12-21,2.0,[0.         0.20166547 0.79833453],[0.   0.35 0.65],157679.23782438086,7.016782762795176,True,,
2022-12-22,2.0,[0.         0.34984331 0.65015669],[0.   0.35 0.65],157660.52531034063,0.007411115103181311,True,,
2022-12-23,1.0,[0.        0.3479365 0.6520635],[0.  0.2 0.8],157187.8340470171,6.976145453943199,True,,
2022-12-27,2.0,[0.         0.20129438 0.79870562],[0.   0.35 0.65],157461.7801609213,7.02463552034786,True,,
2022-12-28,2.0,[0.        0.3490933 0.6509067],[0.   0.35 0.65],157261.59805734205,0.04277689403574941,True,,
2022-12-29,1.0,[0.         0.34894513 0.65105487],[0.  0.2 0.8],157033.78031746804,7.016825063301435,True,,
2022-12-30,2.0,[0.         0.20039812 0.79960188],[0.   0.35 0.65],157131.724030119,7.0521601947913695,True,,
2023-01-03,2.0,[0.         0.35218319 0.64781681],[0.   0.35 0.65],157680.8434507773,0.10327395541179482,True,,
2023-01-04,1.0,[0.         0.34925649 0.65074351],[0.  0.2 0.8],157527.17422884665,7.053585748075393,True,,
2023-01-05,2.0,[0.         0.19936206 0.80063794],[0.   0.35 0.65],157422.09183582856,7.114121889650919,True,,
2023-01-06,1.0,[0.         0.35048933 0.64951067],[0.  0.2 0.8],157561.6909706196,7.113406200335682,True,,
2023-01-09,2.0,[0.         0.20320312 0.79679688],[0.   0.35 0.65],158216.15000107395,6.967691200696967,True,,
2023-01-10,2.0,[0.         0.34813625 0.65186375],[0.   0.35 0.65],157784.9101210883,0.08822133427012196,True,,
2023-01-11,2.0,[0.         0.35287116 0.64712884],[0.   0.35 0.65],158513.58650450117,0.13653544294175848,True,,
2023-01-12,3.0,[0.         0.35252385 0.64747615],[0.1 0.4 0.5],159160.09489253548,7.041695637220665,True,,
2023-01-13,4.0,[0.09867864 0.39883075 0.50249061],[0.25 0.25 0.5 ],158392.3270707574,7.1904428808436,True,,
2023-01-17,4.0,[0.25779577 0.24940002 0.49280421],[0.25 0.25 0.5 ],160726.45249651698,0.3758958656121351,True,,
2023-01-18,4.0,[0.25472249 0.24861644 0.49666107],[0.25 0.25 0.5 ],161835.44858620618,0.22927981642083056,True,,
2023-01-19,2.0,[0.23742621 0.25002939 0.5125444 ],[0.   0.35 0.65],157902.7223808295,11.247073420139133,True,,
