,InvVol
2020-12-11,240600.27435451484
2020-12-14,240046.6710052397
2020-12-15,242677.10339208442
2020-12-16,243657.86217266266
2020-12-17,245796.22347367753
2020-12-18,243944.37352267822
2020-12-21,242957.3705008279
2020-12-22,242896.28854725492
2020-12-23,242108.57509734668
2020-12-24,244046.01298449308
2020-12-28,244840.14358878895
2020-12-29,244791.18154291046
2020-12-30,246416.97985596783
2020-12-31,247602.75780834467
2021-01-04,246587.44670631987
2021-01-05,245976.85035778192
2021-01-06,237503.50361201755
2021-01-07,237886.24464663176
2021-01-08,233054.3449198301
2021-01-11,230423.8849556269
2021-01-12,230972.40371060392
2021-01-13,232895.2379858811
2021-01-14,230725.79113702878
2021-01-15,228672.69478575233
2021-01-19,231978.8822157256
2021-01-20,237059.50610491174
2021-01-21,237588.02556976746
2021-01-22,236089.28530118195
2021-01-25,240689.15310913103
2021-01-26,240180.13862992992
2021-01-27,232804.44713097153
2021-01-28,232772.1839557356
2021-01-29,230019.10613111686
2021-02-01,233144.74060595402
2021-02-02,231903.99327914443
2021-02-03,228589.6170311122
2021-02-04,227400.95869536645
2021-02-05,227604.46046351836
2021-02-08,230200.5486886416
2021-02-09,230577.63581478965
2021-02-10,231380.10469589394
2021-02-11,230910.44634246195
2021-02-12,230192.32853412774
2021-02-16,225662.89936884504
2021-02-17,224081.22951190756
2021-02-18,221616.66384398294
2021-02-19,219886.84062036936
2021-02-22,217265.61001342494
2021-02-23,216385.70289062927
2021-02-24,216489.03931887116
2021-02-25,209482.20009011123
2021-02-26,211033.6313956494
2021-03-01,210508.4075611865
2021-03-02,210562.5114566805
2021-03-03,208544.80819576845
2021-03-04,207050.77024093916
2021-03-05,207729.9050533995
2021-03-08,206430.63683329604
2021-03-09,208891.28081410902
2021-03-10,209464.26119702926
2021-03-11,209261.5836144088
2021-03-12,208107.47655190446
2021-03-15,209792.13448217144
2021-03-16,210122.56995353982
2021-03-17,210559.20675853908
2021-03-18,206372.61324675454
2021-03-19,207491.96779814063
2021-03-22,209798.38445955497
2021-03-23,209406.03595719894
2021-03-24,208328.51701145887
2021-03-25,207478.28004701243
2021-03-26,208740.76810733514
2021-03-29,207392.8279812942
2021-03-30,206180.0025246068
2021-03-31,207860.7242187977
2021-04-01,210982.02796148858
2021-04-05,212467.36164234407
2021-04-06,213351.06782220054
2021-04-07,212972.55493842665
2021-04-08,215364.8170404111
2021-04-09,215806.88197734318
2021-04-12,215088.39568560058
2021-04-13,218370.1319526563
2021-04-14,215263.20261695934
2021-04-15,220326.58918253324
2021-04-16,220545.50609568274
2021-04-19,218093.66320528014
2021-04-20,217080.94295634338
2021-04-21,219445.7911319926
2021-04-22,216813.3580372748
2021-04-23,218665.87802329942
2021-04-26,220091.54051898955
2021-04-27,218444.25463486763
2021-04-28,218311.05776671832
2021-04-29,218173.41943002844
2021-04-30,217252.6628033197
2021-05-03,217749.72228083282
